Title,Description,Price,Manufactured Year,Region
Daewoo Nexia,"Торг есть 1998г., 7.5 л, Бензин, 60 000 км, Вишня, Седан, КПП Механика, Аудиосистема, Сабвуфер, Гидравлика руля, Кондиционер, Вложений н…",7600,1998,Андижан
ВАЗ (Lada) 2106,"Торг есть 1986г., 1.5 л, Бензин, 98 400 км, Молочный цвет, Седан, КПП Механика, Багажник, Хрустальная оптика, Велюр, Дерево, Вложений не…",1473,1986,Карши
"Chevrolet Lacetti, 2 позиция","Торг есть 2019г., 1.8 л, Газ-бензин, 69 000 км, Белый, Седан, КПП Механика, Противотуманки, Обогрев зеркал, Аудиосистема, Гидравлика рул…",11800,2019,Джизак
Chevrolet Damas,"Торг есть 2022г., 0.8 л, Бензин, 80 км, Белый, Универсал, КПП Механика, Аудиосистема, USB, Вложений не требует, 2022.01.31 kuni chiqdi p…",8350,2022,Фергана
"Chevrolet Cobalt, 2 евро позиция","Торг есть 2015г., 1.5 л, Бензин, 170 000 км, Белый, Седан, КПП Автомат, Ветровики, Дневные ходовые огни, Противотуманки, Обогрев зеркал,…",9600,2015,Ташкент
"Chevrolet Malibu, 3 позиция","Есть доставкаТорг есть 2012г., 2.4 л, Газ-бензин, 137 000 км, Черный, Седан, КПП Автомат, Литые диски, Люк, Противотуманки, Обогрев зеркал, Кожа, Ауд…",17000,2012,Ташкент
ВАЗ (Lada) Нива,"Торг есть 2022г., Бензин, 2 400 км, Внедорожник, КПП Механика, Литые диски, Тонировка, Рейлинги, Багажник, Ксенон, Шторки, Аудиосистема,…",18000,2022,Ташкент
"Chevrolet Lacetti, 3 позиция","Торг есть 2021г., 1.5 л, Бензин, 11 600 км, Седан, КПП Автомат, Литые диски, Тонировка, Люк, Ксенон, Противотуманки, Обогрев зеркал, Ауд…",15800,2021,Ташкент
"Chevrolet Lacetti, 2 позиция","2010г., 1.8 л, Бензин, 90 000 км, Белый, Седан, КПП Механика, Противотуманки, Обогрев зеркал, Кожа, Аудиосистема, Гидравлика р…",8999,2010,Карши
"Chevrolet Cobalt, 4 позиция","Торг есть 2022г., 1.5 л, Бензин, 400 км, Белый, Седан, КПП Автомат, Литые диски, Люк, Рейлинги, Противотуманки, Обогрев зеркал, Гидравли…",12600,2022,Андижан
"Chevrolet Nexia 3, 4 позиция","Торг есть 2020г., 1.5 л, Бензин, 11 000 км, Мокрый асфальт, Седан, КПП Автомат, Литые диски, Противотуманки, Обогрев зеркал, Велюр, Ауди…",10500,2020,Ташкент
"Chevrolet Lacetti, 1 позиция Газ-бензин","Торг есть 2019г., 1.5 л, Газ-бензин, 40 700 км, Седан, КПП Механика, Обогрев зеркал, Аудиосистема, Гидравлика руля, ABS, Полный электроп…",12200,2019,Ташкент
"Chevrolet Nexia 3, 2 позиция","Торг есть 2021г., 1.5 л, Бензин, 10 667 км, Седан, КПП Механика, Дневные ходовые огни, Противотуманки, Корректор фар, Обогрев зеркал, Ко…",9500,2021,Китабский район
"Chevrolet Lacetti, 2 позиция","2009г., 1.8 л, Газ, 150 000 км, Серебристый, Седан, КПП Механика, Ксенон, Аудиосистема, MP3, DVD, Техосмотр пройден",7300,2009,Ургутский район
"Chevrolet Nexia 2, 3 позиция DOHC","2009г., 1.6 л, Газ-бензин, 399 000 км, Седан, КПП Механика, Противотуманки, Аудиосистема, Встроенный телефон, Bluetooth, MP3,…",5400,2009,Наманган
"Chevrolet Nexia 2, 1 позиция SOHC","Торг есть 2014г., 1.5 л, Газ-бензин, 110 000 км, Черный, Седан, КПП Механика, Тонировка, Противотуманки, Велюр, Аудиосистема, Сигнализац…",6329,2014,Ташкент
Daewoo Matiz (Standart),"2010г., Газ, Жёлтый, КПП Механика, Балон куйилганига бир ой хам булгани йок хали",3300,2010,Каган
Daewoo Nexia,"Торг есть 2002г., 1.5 л, Газ-бензин, 500 000 км, Седан, КПП Механика, Шторки, Аудиосистема, Встроенный телефон, Bluetooth, CD, CD-чейндж…",4000,2002,Фергана
УАЗ Patriot,"Есть доставкаТорг есть 2020г., 2.7 л, Газ-бензин, 42 000 км, Внедорожник, КПП Механика, Литые диски, Тонировка, Багажник, Ксенон, Хрустальная оптика,…",17500,2020,Карши
"Chevrolet Lacetti, 1 позиция","2022г., 1.5 л, Бензин, 10 км, Седан, КПП Механика, Обогрев зеркал, Гидравлика руля, ABS, Полный электропакет, Центрозамок, Кон…",13400,2022,Ташкент
Daewoo Nexia,"Торг есть 1998г., 7.5 л, Бензин, 60 000 км, Вишня, Седан, КПП Механика, Аудиосистема, Сабвуфер, Гидравлика руля, Кондиционер, Вложений н…",7600,1998,Андижан
ВАЗ (Lada) 2106,"Торг есть 1986г., 1.5 л, Бензин, 98 400 км, Молочный цвет, Седан, КПП Механика, Багажник, Хрустальная оптика, Велюр, Дерево, Вложений не…",1473,1986,Карши
"Chevrolet Lacetti, 2 позиция","Торг есть 2019г., 1.8 л, Газ-бензин, 69 000 км, Белый, Седан, КПП Механика, Противотуманки, Обогрев зеркал, Аудиосистема, Гидравлика рул…",11800,2019,Джизак
Chevrolet Damas,"Торг есть 2022г., 0.8 л, Бензин, 80 км, Белый, Универсал, КПП Механика, Аудиосистема, USB, Вложений не требует, 2022.01.31 kuni chiqdi p…",8350,2022,Фергана
"Chevrolet Cobalt, 2 евро позиция","Торг есть 2015г., 1.5 л, Бензин, 170 000 км, Белый, Седан, КПП Автомат, Ветровики, Дневные ходовые огни, Противотуманки, Обогрев зеркал,…",9600,2015,Ташкент
"Chevrolet Malibu, 3 позиция","Есть доставкаТорг есть 2012г., 2.4 л, Газ-бензин, 137 000 км, Черный, Седан, КПП Автомат, Литые диски, Люк, Противотуманки, Обогрев зеркал, Кожа, Ауд…",17000,2012,Ташкент
ВАЗ (Lada) Нива,"Торг есть 2022г., Бензин, 2 400 км, Внедорожник, КПП Механика, Литые диски, Тонировка, Рейлинги, Багажник, Ксенон, Шторки, Аудиосистема,…",18000,2022,Ташкент
"Chevrolet Lacetti, 3 позиция","Торг есть 2021г., 1.5 л, Бензин, 11 600 км, Седан, КПП Автомат, Литые диски, Тонировка, Люк, Ксенон, Противотуманки, Обогрев зеркал, Ауд…",15800,2021,Ташкент
"Chevrolet Lacetti, 2 позиция","2010г., 1.8 л, Бензин, 90 000 км, Белый, Седан, КПП Механика, Противотуманки, Обогрев зеркал, Кожа, Аудиосистема, Гидравлика р…",8999,2010,Карши
"Chevrolet Cobalt, 4 позиция","Торг есть 2022г., 1.5 л, Бензин, 400 км, Белый, Седан, КПП Автомат, Литые диски, Люк, Рейлинги, Противотуманки, Обогрев зеркал, Гидравли…",12600,2022,Андижан
"Chevrolet Nexia 3, 4 позиция","Торг есть 2020г., 1.5 л, Бензин, 11 000 км, Мокрый асфальт, Седан, КПП Автомат, Литые диски, Противотуманки, Обогрев зеркал, Велюр, Ауди…",10500,2020,Ташкент
"Chevrolet Lacetti, 1 позиция Газ-бензин","Торг есть 2019г., 1.5 л, Газ-бензин, 40 700 км, Седан, КПП Механика, Обогрев зеркал, Аудиосистема, Гидравлика руля, ABS, Полный электроп…",12200,2019,Ташкент
"Chevrolet Nexia 3, 2 позиция","Торг есть 2021г., 1.5 л, Бензин, 10 667 км, Седан, КПП Механика, Дневные ходовые огни, Противотуманки, Корректор фар, Обогрев зеркал, Ко…",9500,2021,Китабский район
"Chevrolet Lacetti, 2 позиция","2009г., 1.8 л, Газ, 150 000 км, Серебристый, Седан, КПП Механика, Ксенон, Аудиосистема, MP3, DVD, Техосмотр пройден",7300,2009,Ургутский район
